decision_time,symbol,route,valid,score,failed_checks
2026-05-24 17:00:00,LINKUSDT,IGNITION,False,27.0,market_state|base_structure|reclaim|higher_low|acceleration|volume
2026-05-24 17:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,36.0,market_state|trend_structure|breakout|momentum|volume|rsi
2026-05-24 17:00:00,DOGEUSDT,IGNITION,False,23.0,market_state|base_structure|reclaim|higher_low|acceleration|volume|relative_strength
2026-05-24 17:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|volume|rsi|relative_strength
2026-05-24 18:00:00,BTCUSDT,IGNITION,False,27.0,market_state|base_structure|reclaim|higher_low|acceleration|volume
2026-05-24 18:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,30.0,market_state|trend_structure|breakout|momentum|candle_quality|volume
2026-05-24 18:00:00,ETHUSDT,IGNITION,False,27.0,market_state|base_structure|reclaim|higher_low|acceleration|volume
2026-05-24 18:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 18:00:00,SOLUSDT,IGNITION,False,27.0,market_state|base_structure|reclaim|higher_low|acceleration|volume
2026-05-24 18:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 18:00:00,XRPUSDT,IGNITION,False,23.0,market_state|base_structure|reclaim|higher_low|acceleration|volume|relative_strength
2026-05-24 18:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|volume|rsi|relative_strength
2026-05-24 18:00:00,LINKUSDT,IGNITION,False,27.0,market_state|base_structure|reclaim|higher_low|acceleration|volume
2026-05-24 18:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 18:00:00,DOGEUSDT,IGNITION,False,23.0,market_state|base_structure|reclaim|higher_low|acceleration|volume|relative_strength
2026-05-24 18:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|volume|rsi|relative_strength
2026-05-24 19:00:00,BTCUSDT,IGNITION,False,47.0,market_state|base_structure|reclaim|volume
2026-05-24 19:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,30.0,market_state|trend_structure|breakout|momentum|candle_quality|volume
2026-05-24 19:00:00,ETHUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|volume
